,title,author,date,tag,collection,transmit,comments,songs,play
53,失恋歌单｜我终于失去你了,GYiFi,2021-10-26,流行-治愈-华语,11398,117,97,81,1130574
54,【身法必备】自我拉扯,是她在哭吗,2021-08-29,游戏-浪漫-00后,9705,46,99,227,751991
55,去吹吹风吧 能醒的话感冒也没关系,刘正武武武,2021-11-07,华语-流行,9150,279,64,106,724670
56,【rap】拽姐化妆时听的歌,PURPLECOLDAIR,2021-11-24,欧美-说唱-R&B/Soul,15605,51,5,306,213043
57,校园金曲广播站：90后的青涩印记,蜜糖男孩,2021-08-18,华语-校园-90后,12121,122,37,121,1636981
58,应该很失落吧 明明相爱却无法在一起,Aricdontluv,2021-10-04,华语-流行-伤感,11383,307,110,86,1203305
59,一个水瓶座的听歌列表,三千大世界7,2021-09-24,伤感-华语-流行,13635,234,86,372,5941722
60,一个摩羯座的听歌列表,星星为谁哭了,2021-09-24,流行-华语-伤感,12206,81,45,199,3302521
61,一个只有摩羯座才能听懂的听歌列表,所以别再想起我,2021-08-19,华语-流行-伤感,15372,518,1154,222,1451714
62,世界上的惊喜与好运都是你积攒的温柔与善良,西北玄天一片云D,2021-12-06,华语-流行-治愈,11990,36,2,78,1129217
63,【欧美大热】让你一秒沦陷的圣诞必听流行歌,GODIVA歌帝梵,2021-11-20,欧美-流行,41159,1868,1213,32,421294
64,英皇娱乐回归云村|往事用粤语经典来回味,网易云音乐,2021-11-05,流行-怀旧,10万,2985,2044,209,6615440
65,纵使黑夜吞噬了一切，太阳还可以重新回来,你的宝贝呢y,2021-12-03,华语-流行-治愈,11949,235,4,57,1132105
66,【宝藏歌单】一开口就被惊艳到的小众圣诞歌,GODIVA歌帝梵,2021-11-19,欧美-治愈,39636,1648,1007,32,372762
67,“开口跪，细数欧美侵入耳膜的温柔”,马可波罗堡-,2021-09-11,流行-欧美-学习,16824,241,11,91,402467
68,治愈基地 | 不该打扰的人就放手吧,不离不弃不粉,2021-08-26,治愈-流行-华语,10283,45,33,79,1917197
69,边路打野专属伤感BGM,万人仰我词,2021-08-13,伤感-翻唱-游戏,31057,284,170,118,3625454
70,关于我们，你遗憾吗？,爱听歌的狗大叔,2021-07-14,华语-流行-伤感,8631,65,73,113,1546286
71,Swingman_z0,Swingman_z0,2021-06-20,R&B/Soul-说唱-运动,37841,196,159,377,730605
72,精选：流行治愈伤感,GYiFi,2021-10-27,流行-伤感-华语,11018,362,2,59,1365437
73,2021爆火流行歌曲一键推荐（更新快）,小乂怕疼,2021-08-25,流行-榜单-华语,15738,311,44,183,2117967
74,失恋歌单｜终究还是错过了,GYiFi,2021-10-27,治愈-流行-华语,12892,35,6,45,1347868
75,网络伤感记 | 要懂得及时止损,奔向你拥抱你一下,2021-08-27,流行-网络歌曲-华语,12743,36,32,74,1749404
76,精选蹦迪炸曲 /电驾炸街硬曲「E.D.M合集」,倾难V,2021-07-02,电子-驾车-酒吧,15482,166,29,105,1318571
77,『裴小川压迫感节奏大师』,可惜我言不由衷,2021-07-07,流行-快乐-游戏,41078,249,227,45,3359657
78,欧美流行｜那些一开口就沉溺的宝藏男声_,Felixlicis_,2021-07-22,欧美-流行-清新,12101,129,56,127,1089588
79,甜酷女孩专用歌单,少女的喜欢_,2021-09-21,欧美-流行-浪漫,18542,45,12,88,501877
80,【超好听的R&B歌单】适合学习作业 放松心情,Charlotte余南予,2021-08-12,R&B/Soul-学习-治愈,15463,168,85,35,701365
81,一个巨蟹座的听歌列表,卜丁卜丁卜丁,2021-08-09,华语-流行-夜晚,39798,1277,749,106,10764621
82,考研政治史纲口诀歌（磨耳朵）,ee-H,2021-11-02,学习-校园,29778,935,68,18,445097
83,精选超好听热门流行歌曲推荐(更新快),长裙小矮子_l,2021-11-03,华语-流行-榜单,11574,309,21,191,1594695
84,2022全网超好听热门流行歌曲推荐,不准抢我蛋糕,2021-11-05,华语-流行-网络歌曲,31349,663,91,186,3897538
85,大概率她根本不会想起你,和你双排就像坐牢,2021-11-23,流行-说唱-夜晚,13712,26,9,128,199750
86,2021全网最火流行歌曲推荐（持更）,何木期,2021-05-31,华语-流行-榜单,14万,793,344,154,25376488
87,一个摩羯座的听歌列表,bq07244,2021-07-16,华语-流行-夜晚,26526,691,772,67,10208239
88,一个双子座的听歌列表,來自十九層地獄__,2021-07-25,华语-流行-网络歌曲,35717,430,1648,142,10781420
89,欧美歌单 | 做作业考研必备/听完英语还好了,马可波罗堡-,2021-09-19,欧美-学习-流行,19260,151,18,94,716926
90,一个白羊座的听歌列表,带泪的鱼一个人,2021-08-10,华语-流行-治愈,45448,1418,1308,105,10403698
91,好听到单曲循环的中文歌单,少女的喜欢_,2021-10-13,华语-流行,18693,58,7,73,1066548
92,一个天蝎座的听歌列表,欲望始终难抵你,2021-08-18,流行-说唱-华语,6631,31,16,117,1823091
93,好听到单曲循环的华语歌单,少女的喜欢_,2021-10-13,华语-流行,17127,24,6,56,641918
94,欧美精选：一人一首代表作,扯疼,2021-07-28,欧美-流行,8809,91,44,100,823933
95,『时光音乐会 』|第1-10期合集更新中,苑晓杰Jessica,2021-10-25,华语-综艺-流行,16919,122,111,69,892847
96,洗袜子！（压迫感）（游戏BGM）,Guangzhou_TTG-月兔,2021-07-30,游戏-运动-00后,27645,134,185,65,1659690
97,华语｜超好听的神仙翻唱哦,世间温柔皆可期,2021-09-15,华语-流行-翻唱,7268,50,19,301,817654
98,全网超好听热门流行歌曲推荐（持续更新）,不是阿倩,2021-10-23,流行-网络歌曲-榜单,10218,271,15,202,1289479
99,一个双鱼座的听歌列表,畴南谜谜,2021-08-10,华语-流行-夜晚,15248,584,785,87,4651634
100,不知名选手au,Zzeee-,2021-07-17,流行-华语-说唱,33978,281,181,196,2759532
101,伤感/Emo说唱/Sad,KIND_CL,2021-07-17,流行-说唱-华语,11416,1369,60,138,2322031
102,2021全网最火超好听热门歌曲（持续更新）,没可能绝不会,2021-08-24,华语-流行-治愈,10708,138,23,117,1296219
103,2021全网最火超好听热门歌曲,饼干影视,2021-09-11,华语-流行-网络歌曲,10011,25,15,133,1286650
104,红眼特效？！ 猎杀时刻！,Adm1n14trator,2021-08-12,夜晚-兴奋-网络歌曲,18519,146,124,60,1130326
